Model,Accuracy
KNN (Manual Search),0.9184782608695652
SVM (GridSearchCV),0.8967391304347826
SVM (RandomizedSearchCV),0.8967391304347826
Random Forest,0.8913043478260869
Gradient Boosting,0.8913043478260869
XGBoost,0.8913043478260869
AdaBoost,0.8804347826086957
